
DECIMAL       HEXADECIMAL     DESCRIPTION
129720        0x1FAB8         Object signature in DER format (PKCS header length: 4, sequence length: -10240
153664        0x25840         Private key in DER format (PKCS header length: 4, sequence length: -15487
153664        0x25840         Certificate in DER format (x509 v3), header length: 4, sequence length: -15487
153664        0x25840         Object signature in DER format (PKCS header length: 4, sequence length: -15487
154458        0x25B5A         Private key in DER format (PKCS header length: 4, sequence length: 2538
154458        0x25B5A         Certificate in DER format (x509 v3), header length: 4, sequence length: 2538
154458        0x25B5A         Object signature in DER format (PKCS header length: 4, sequence length: 2538
155696        0x26030         Private key in DER format (PKCS header length: 4, sequence length: 8256
155696        0x26030         Certificate in DER format (x509 v3), header length: 4, sequence length: 8256
155696        0x26030         Object signature in DER format (PKCS header length: 4, sequence length: 8256
155712        0x26040         Private key in DER format (PKCS header length: 4, sequence length: 9775
155712        0x26040         Certificate in DER format (x509 v3), header length: 4, sequence length: 9775
155712        0x26040         Object signature in DER format (PKCS header length: 4, sequence length: 9775
156050        0x26192         Private key in DER format (PKCS header length: 4, sequence length: -16366
156050        0x26192         Certificate in DER format (x509 v3), header length: 4, sequence length: -16366
156050        0x26192         Object signature in DER format (PKCS header length: 4, sequence length: -16366
170064        0x29850         Private key in DER format (PKCS header length: 4, sequence length: 3318
170064        0x29850         Certificate in DER format (x509 v3), header length: 4, sequence length: 3318
170064        0x29850         Object signature in DER format (PKCS header length: 4, sequence length: 3318
184090        0x2CF1A         Private key in DER format (PKCS header length: 4, sequence length: 6401
184090        0x2CF1A         Certificate in DER format (x509 v3), header length: 4, sequence length: 6401
184090        0x2CF1A         Object signature in DER format (PKCS header length: 4, sequence length: 6401
184272        0x2CFD0         Private key in DER format (PKCS header length: 4, sequence length: 29960
184272        0x2CFD0         Certificate in DER format (x509 v3), header length: 4, sequence length: 29960
184272        0x2CFD0         Object signature in DER format (PKCS header length: 4, sequence length: 29960
191971        0x2EDE3         Private key in DER format (PKCS header length: 4, sequence length: 25221
191971        0x2EDE3         Certificate in DER format (x509 v3), header length: 4, sequence length: 25221
191971        0x2EDE3         Object signature in DER format (PKCS header length: 4, sequence length: 25221
193203        0x2F2B3         BFF volume entry, AIXv3, file name: "§)	B(A	à§ðz)A""
193241        0x2F2D9         BFF volume entry, AIXv3, file name: "" SÈ*èÈ1èp"
239857        0x3A8F1         Private key in DER format (PKCS header length: 4, sequence length: 9086
239857        0x3A8F1         Certificate in DER format (x509 v3), header length: 4, sequence length: 9086
239857        0x3A8F1         Object signature in DER format (PKCS header length: 4, sequence length: 9086
251816        0x3D7A8         Private key in DER format (PKCS header length: 4, sequence length: -3568
251816        0x3D7A8         Certificate in DER format (x509 v3), header length: 4, sequence length: -3568
251816        0x3D7A8         Object signature in DER format (PKCS header length: 4, sequence length: -3568
259326        0x3F4FE         Private key in DER format (PKCS header length: 4, sequence length: 5126
259326        0x3F4FE         Certificate in DER format (x509 v3), header length: 4, sequence length: 5126
259326        0x3F4FE         Object signature in DER format (PKCS header length: 4, sequence length: 5126
265234        0x40C12         Private key in DER format (PKCS header length: 4, sequence length: 5126
265234        0x40C12         Certificate in DER format (x509 v3), header length: 4, sequence length: 5126
265234        0x40C12         Object signature in DER format (PKCS header length: 4, sequence length: 5126
265274        0x40C3A         Private key in DER format (PKCS header length: 4, sequence length: -18424
265274        0x40C3A         Certificate in DER format (x509 v3), header length: 4, sequence length: -18424
265274        0x40C3A         Object signature in DER format (PKCS header length: 4, sequence length: -18424
265282        0x40C42         Private key in DER format (PKCS header length: 4, sequence length: -18424
265282        0x40C42         Certificate in DER format (x509 v3), header length: 4, sequence length: -18424
265282        0x40C42         Object signature in DER format (PKCS header length: 4, sequence length: -18424
267186        0x413B2         Private key in DER format (PKCS header length: 4, sequence length: 31537
267186        0x413B2         Certificate in DER format (x509 v3), header length: 4, sequence length: 31537
267186        0x413B2         Object signature in DER format (PKCS header length: 4, sequence length: 31537
280264        0x446C8         Private key in DER format (PKCS header length: 4, sequence length: -18408
280264        0x446C8         Certificate in DER format (x509 v3), header length: 4, sequence length: -18408
280264        0x446C8         Object signature in DER format (PKCS header length: 4, sequence length: -18408
309862        0x4BA66         Unix path: /../src/blink/blink.c (likely false positive)
310380        0x4BC6C         Unix path: /api/v1/networks/%d/owls/%d/logs?name=%d (likely false positive)
311153        0x4BF71         LBR archive data
311858        0x4C232         Unix path: /../src/app/onboard/imjson.c (likely false positive)
312258        0x4C3C2         Unix path: /../src/app/onboard/imcjson.c (likely false positive)
313508        0x4C8A4         Unix path: /api/v1/owl/status (likely false positive)
313607        0x4C907         ZynOS header, header size: 48 bytes, rom image type: , uncompressed size: 1159746377, compressed size: 1196310868, uncompressed checksum: 0x4520, compressed checksum: 0x5641, flags: 0x55, uncompressed checksum is valid, memory map table address: 0x4E415455
313633        0x4C921         ZynOS header, header size: 48 bytes, rom image type: , uncompressed size: 1159746377, compressed size: 1196310868, uncompressed checksum: 0x4520, compressed checksum: 0x494E, flags: 0x55, uncompressed checksum is valid, memory map table address: 0x64207265
314022        0x4CAA6         Unix path: /api/set/key (likely false positive)
314222        0x4CB6E         Unix path: /../src/app/onboard/http_server.c (likely false positive)
314566        0x4CCC6         Unix path: /../src/app/cs/request.c (likely false positive)
315166        0x4CF1E         Unix path: /../src/app/blink_server/blink_serv.c (likely false positive)
316171        0x4D30B         Unix path: /../src/app/blink_server/ms_writer.c (likely false positive)
316409        0x4D3F9         Unix path: /../src/app/blink_server/ms_reader.c (likely false positive)
316826        0x4D59A         Unix path: /../src/app/blink_server/imstat.c (likely false positive)
317176        0x4D6F8         Unix path: /../src/app/persist/persist_perm.c (likely false positive)
317266        0x4D752         Unix path: /../src/app/persist/persist_rw.c (likely false positive)
317654        0x4D8D6         Unix path: /../src/app/fw_update/bundle.c (likely false positive)
318089        0x4DA89         Unix path: /../src/app/cs/cs.c (likely false positive)
318186        0x4DAEA         Unix path: /api/v1/networks/%d/owls/%d/ip_address (likely false positive)
318683        0x4DCDB         Unix path: /api/v1/networks/%d/owls/%d/onboarded (likely false positive)
318966        0x4DDF6         Unix path: /../src/app/persist/persist_ob.c (likely false positive)
319755        0x4E10B         LZMA compressed data, properties: 0x5C, dictionary size: 0 bytes, uncompressed size: 0 bytes
319787        0x4E12B         LZMA compressed data, properties: 0xC0, dictionary size: 0 bytes, uncompressed size: 0 bytes
319919        0x4E1AF         Unix path: /../src/app/pipes/pipe_mgr/pipe_mgr.c (likely false positive)
320563        0x4E433         Unix path: /../src/app/pipes/video_pipe/video_pipe.c (likely false positive)
321047        0x4E617         Unix path: /../src/app/pipes/cram_pipe/cram_pipe.c (likely false positive)
322342        0x4EB26         Unix path: /../src/app/pipes/muxer_pipe/muxer_pipe.c (likely false positive)
322618        0x4EC3A         Unix path: /../src/app/pipes/inet_pipe/inet_pipe.c (likely false positive)
322830        0x4ED0E         Unix path: /../src/app/pipes/audio_pipe/audio_pipe.c (likely false positive)
323313        0x4EEF1         Unix path: /../src/asic/cpu/arc6xx/interrupts.c (likely false positive)
323682        0x4F062         Unix path: /../src/asic/io/spi.c (likely false positive)
323814        0x4F0E6         Unix path: /../src/asic/mem/circbuf.c (likely false positive)
324113        0x4F211         Unix path: /../src/asic/isp/sensor_interface/sensor_interface.c (likely false positive)
324346        0x4F2FA         Unix path: /../src/asic/isp/isp_by/exp.c (likely false positive)
324598        0x4F3F6         Unix path: /../src/asic/isp/isp_nf/tnf.c (likely false positive)
324650        0x4F42A         Unix path: /../src/asic/isp/scaler/scaler.c (likely false positive)
324894        0x4F51E         Unix path: /../src/app/crypt/aes_wrapper.c (likely false positive)
325303        0x4F6B7         Unix path: /../src/asic/io/aes_hw.c (likely false positive)
325366        0x4F6F6         Unix path: /../src/asic/io/sha256_hw.c (likely false positive)
325424        0x4F730         Base64 standard index table
325618        0x4F7F2         Unix path: /../src/app/crypt/blink_hmac_sha256.c (likely false positive)
325864        0x4F8E8         Broadcom 96345 firmware header, header size: 256, firmware version: "[$", board id: "1¾U}Ãr¾]tÞ±þÜ§ÁñtäiÁï¾GÁÆ$¡Ì-é,oJtª\°©ÜvùÚ>QR¨1Æm°'È¿YÇÆàóÕ§GÊcQ))g'·", ~CRC32 header checksum: 0x84C87814, ~CRC32 data checksum: 0x4ED8AA4A
325868        0x4F8EC         SHA256 hash constants, big endian
326132        0x4F9F4         Unix path: /../src/driver/spi_flash/spi_flash.c (likely false positive)
326352        0x4FAD0         Unix path: /../src/driver/ledbutton/ledbutton.c (likely false positive)
